uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
1,https://www.naukri.com/job-listings-Assistant-Deputy-Manager-Human-Resources-Mukand-Ltd-Mumbai-Kalwa-5-to-10-years-200417006081?src=jobsearchDesk&sid=14965021636977&xp=1,Assistant/ Deputy Manager - Human Resources,Assistant/ Deputy Manager - Human Resources,Mukand Ltd,Mumbai(Kalwa),5-10 yrs,Recruitment- Induction- Performance Appraisal- Interviewing- Sourcing...,"1.	Responsible for recruitment within specified deadline.  2. Sourcing in line with business plan in ...",Not disclosed,0
2,https://www.naukri.com/job-listings-Analyst-Senior-Analyst-Reporting-HR-Deloitte-Hyderabad-3-to-6-years-030617900487?src=jobsearchDesk&sid=14965021636977&xp=2,Analyst / Senior Analyst - Reporting (HR),Analyst / Senior Analyst - Reporting (HR),Deloitte,Hyderabad,3-6 yrs,Health & Safety- Human Resources Strategy- Human Resources Systems..., ,Not disclosed,0
3,https://www.naukri.com/job-listings-Assistant-Deputy-Manager-Human-Resources-Mukand-Ltd-Mumbai-Kalwa-5-to-10-years-030617003729?src=jobsearchDesk&sid=14965021636977&xp=3,Assistant/ Deputy Manager - Human Resources,Assistant/ Deputy Manager - Human Resources,Mukand Ltd,Mumbai(Kalwa),5-10 yrs,Recruitment- Induction- Performance Appraisal- Interviewing- Sourcing...,"1.	Responsible for recruitment within specified deadline.  2. Sourcing in line with business plan in ...",Not disclosed,0
4,https://www.naukri.com/job-listings-Sr-HR-Executive-Male-Only-call-7838294039-9810744840-Onkar-Infotech-Pvt-Ltd-Gurgaon-2-to-7-years-140616010692?src=jobsearchDesk&sid=14965021636977&xp=4,Sr. HR Executive- Male Only/call 7838294039/9810744840,Sr. HR Executive- Male Only/call 7838294039/9810744840,Onkar Infotech Pvt. Ltd.,Gurgaon,2-7 yrs,talent management- employee relations- leaves & attendance- induction, ,300000 - 425000 P.A.,0
5,https://www.naukri.com/job-listings-HR-Assistant-Dy-Manager-Nasik-Ashoka-Buildcon-Ltd-Nasik-8-to-10-years-030617002334?src=jobsearchDesk&sid=14965021636977&xp=5,HR- Assistant/ Dy. Manager- Nasik,HR- Assistant/ Dy. Manager- Nasik,Ashoka Buildcon Ltd.,Nasik,8-10 yrs,Core HR- Payroll Management- Performance Appraisal- HR Assistance- Hr Mba...,Candidate with MBA(HR)/ MPM/ DLW/DLL with relevant experience of 10+yrs required. Candidate from ...,600000 - 950000 P.A.,0
6,https://www.naukri.com/job-listings-HR-Executive-Nestle-India-Ltd-Wayanad-10-to-20-years-060517000462?src=jobsearchDesk&sid=14965021636977&xp=6,HR Executive,HR Executive,Nestle India Ltd.,Wayanad,10-20 yrs,Industrial Relations- Employee Relations- Employee Communication...,"Job Title :	HR Executive Level:	Senior Executive Reports to:	HR Manager- Plant Manager ...",1100000 - 1300000 P.A.,0
7,https://www.naukri.com/job-listings-HR-Executive-Senior-HR-Executive-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Delhi-Janakpuri-0-to-3-years-030617003212?src=jobsearchDesk&sid=14965021636977&xp=7,HR Executive/ Senior HR Executive,HR Executive/ Senior HR Executive,ANRI SOLUTIONS HR SERVICES PVT LTD,Delhi(Janakpuri),0-3 yrs,Recruitment- Shortlisting- Head Hunting- Screening- Sourcing..., ,200000 - 300000 P.A.,0
8,https://www.naukri.com/job-listings-HR-Manager-Blueberry-Digital-Labs-Hyderabad-3-to-6-years-010617900752?src=jobsearchDesk&sid=14965021636977&xp=8,HR Manager,HR Manager,Blueberry Digital Labs,Hyderabad,3-6 yrs,Campus Recruitment- Hr Mba- Compensation- Benefits- Orientation- Training...,"Must be from a good University- with MBA in HR. 	Must have experience as HR Manager- managing 100 to ...",Not disclosed,0
9,https://www.naukri.com/job-listings-Group-Head-HR-for-one-of-the-Leading-Hospital-Chain-hyderabad-LIONTREE-HR-CONSULTANTS-PVT-LTD-Hyderabad-15-to-25-years-030617001310?src=jobsearchDesk&sid=14965021636977&xp=9,Group Head HR for one of the Leading Hospital Chain-hyderabad,Group Head HR for one of the Leading Hospital Chain-hyderabad,LIONTREE HR CONSULTANTS PVT. LTD.,Hyderabad,15-25 yrs,HR Generalist Activities- Performance Management- Business HR..., Merger &amp; acquisitions HR Generalist Activities- Performance Management- Talent ...,3500000 - 6000000 P.A.,0
10,https://www.naukri.com/job-listings-Hr-administration-Facility-Management-Larsen-Toubro-Limited-Pune-4-to-8-years-070317003975?src=jobsearchDesk&sid=14965021636977&xp=10,Hr/administration & Facility Management,Hr/administration & Facility Management,Larsen & Toubro Limited,Pune,4-8 yrs,Office Administration- Employee Engagement- Pantry- Housekeeping..., ,Not disclosed,0
11,https://www.naukri.com/job-listings-HR-Generalist-for-German-IT-MNC-Female-Position-PASS-GCA-Solutions-Centre-Pvt-Ltd-Hyderabad-0-to-5-years-240517008868?src=jobsearchDesk&sid=14965021636977&xp=11,HR Generalist for German IT MNC ( Female Position),HR Generalist for German IT MNC ( Female Position),PASS GCA Solutions Centre Pvt. Ltd.,Hyderabad,0-5 yrs,HR and Recruitment and IR- HR- human resource- generalist- hr generalist..., We are looking for HR Generalist/ Administrator  who is positive - smart-proactive-dynamic with ...,Not disclosed,0
12,https://www.naukri.com/job-listings-Executive-HR-Udaipur-Mineral-Development-Syndicate-Pvt-Ltd-Jaipur-1-to-3-years-030617900063?src=jobsearchDesk&sid=14965021636977&xp=12,Executive HR,Executive HR,Udaipur Mineral Development Syndicate Pvt. Ltd.,Jaipur,1-3 yrs,Executive HR- HR- Admin- Operations- Employee Data Management...,"   	   Recruitment and selection   :  Coordinates requirement v/s actual ...",Not disclosed,0
13,https://www.naukri.com/job-listings-Skillmirror-Hiring-for-HR-Trainee-Skill-Mirror-Gurgaon-Sohna-Road-0-to-1-years-030617003792?src=jobsearchDesk&sid=14965021636977&xp=13,Skillmirror Hiring for HR Trainee,Skillmirror Hiring for HR Trainee,Skill Mirror,Gurgaon(Sohna Road),0-1 yrs,Recruitment- HR- Bulk Hiring- Mass Hiring- Volume Hiring- HR trainee...,*Handling end to end recruitment *Search Resumes based on requirement using internal database or job ...,Not disclosed,0
14,https://www.naukri.com/job-listings-HR-Executive-Grand-Cuisines-Banquets-Pvt-Ltd-Mumbai-Worli-1-to-4-years-030617002530?src=jobsearchDesk&sid=14965021636977&xp=14,HR Executive,HR Executive,Grand Cuisines Banquets Pvt. Ltd.,Mumbai(Worli),1-4 yrs,HR Operations- Recruitment- Employee Engagement- HRIS...,Key Areas of Responsibility:   Recruitment and Onboarding Employee Engagement Activities ...,250000 - 350000 P.A.,0
15,https://www.naukri.com/job-listings-HR-Excecutive-Trigeo-Technologies-Pvt-Ltd-Hyderabad-0-to-2-years-030617002282?src=jobsearchDesk&sid=14965021636977&xp=15,HR Excecutive,HR Excecutive,Trigeo Technologies Pvt. Ltd.,Hyderabad,0-2 yrs,HR- HR Executive- HR manager,Recruitment and selection  : Coordinates requirement v/s actual for opening posts. Conducts interviews . ...,Not disclosed,0
16,https://www.naukri.com/job-listings-Urgent-Requirement-for-HR-Executive-at-Renowned-Hospital-in-Bihar-Glocal-Healthcare-Systems-Pvt-Ltd-Bhagalpur-Muzaffarpur-1-to-4-years-030617001907?src=jobsearchDesk&sid=14965021636977&xp=16,Urgent Requirement for HR Executive at Renowned Hospital in Bihar,Urgent Requirement for HR Executive at Renowned Hospital in Bihar,Glocal Healthcare Systems (Pvt) Ltd.,Bhagalpur Muzaffarpur,1-4 yrs,Recruitment- HR- human resource- hr generalist,  Job Description:     Recruitment  On Boarding Formalities ...,Not disclosed,0
17,https://www.naukri.com/job-listings-Recruiter-HR-Overseas-Recruitment-International-trade-links-ITL-Kochi-Kochi-1-to-6-years-030617001099?src=jobsearchDesk&sid=14965021636977&xp=17,Recruiter HR- Overseas Recruitment,Recruiter HR- Overseas Recruitment,International trade links-(ITL-Kochi),Kochi,1-6 yrs,Telephonic- Screening- Recruitment- Sourcing- Gas- Interviewing- HR...,Experience in Overseas recruitment Consultancy( Oil &amp; Gas- Petrochemical- Civil Construction ...,125000 - 200000 P.A.,0
18,https://www.naukri.com/job-listings-Direct-Walk-In-for-Junior-HR-HR-Executive-09-06-17-Hyderabad-Moldtek-Packaging-Limited-Hyderabad-0-to-0-years-030617000762?src=jobsearchDesk&sid=14965021636977&xp=18,Direct Walk In for Junior HR/ HR Executive - 09/06/17 - Hyderabad,Direct Walk In for Junior HR/ HR Executive - 09/06/17 - Hyderabad,Moldtek Packaging Limited,Hyderabad,0-0 yrs,MBA- excellent communication,Education: MBA  Software Knowledge: Ms.word Preferably looking for a male candidate Job ...,100000 - 150000 P.A.,0
19,https://www.naukri.com/job-listings-Urgent-Opening-for-a-HR-Executive-Real-Estate-Industry-Red-Coupon-Pune-1-to-4-years-030617000372?src=jobsearchDesk&sid=14965021636977&xp=19,Urgent Opening for a HR Executive - Real Estate Industry,Urgent Opening for a HR Executive - Real Estate Industry,Red Coupon,Pune,1-4 yrs,HR and Recruitment and IR- hr generalist and ir...,HR Executive -Red Coupon Dear Sir/Madam- Greetings from Red Coupon  Red Coupon- is India ...,200000 - 400000 P.A.,0
20,https://www.naukri.com/job-listings-Night-Shift-hiring-for-HR-Generalist-Role-Night-Shift-Royal-Softech-Resource-Logistics-Inc-Noida-1-to-2-years-020617002888?src=jobsearchDesk&sid=14965021636977&xp=20,Night Shift :hiring for HR Generalist Role: Night Shift ,Night Shift :hiring for HR Generalist Role: Night Shift ,Royal Softech ( Resource Logistics Inc.),Noida,1-2 yrs,HR Generalist Activities- Hiring- Night Shift, Job Profile :HR Generalist .   Location - Sector -1-Noida    Shift ...,150000 - 250000 P.A. Dinner+pick and Drop,0
21,https://www.naukri.com/job-listings-Sr-Manager-HR-Escon-Elevators-Pvt-Ltd-Mumbai-14-to-24-years-020617000819?src=jobsearchDesk&sid=14965021636977&xp=21,Sr. Manager HR,Sr. Manager HR,Escon Elevators Pvt. Ltd.,Mumbai,14-24 yrs,HR Strategy- Recruitment- Talent Acquisition- Talent Management...,Job Description   1.HR Strategy &amp; Policy Development: Develop recommend &amp; implement HR ...,Not disclosed,0
22,https://www.naukri.com/job-listings-Vice-President-Human-Resource-Investment-Bank-Master-Mind-Consultancy-Mumbai-13-to-16-years-030617003258?src=jobsearchDesk&sid=14965021636977&xp=22,Vice President - Human Resource - Investment Bank,Vice President - Human Resource - Investment Bank,Master Mind Consultancy,Mumbai,13-16 yrs,Human Resource- HR- analytics- Employee Survey- HR Analytics- HR Head,Please Note:  1) Candidates working in Investment Bank OR Finance industry can only apply. ...,Not disclosed,0
23,https://www.naukri.com/job-listings-Hr-Recruitment-Talent-Acquisition-Vikhroli-and-Thane-Mumbai-Yellow-Box-HR-Services-Pvt-Ltd-Mumbai-2-to-5-years-020617006611?src=jobsearchDesk&sid=14965021636977&xp=23,Hr Recruitment Talent Acquisition Vikhroli and Thane Mumbai,Hr Recruitment Talent Acquisition Vikhroli and Thane Mumbai,Yellow Box HR Services Pvt. Ltd.,Mumbai,2-5 yrs,Hiring- Talent Acquisition- Recruitment- Interviewing- HR..., Hr Recruitment Talent Acquisition Vikhroli and Thane- Mumbai  Face to Face Interview on 6th ...,400000 - 550000 P.A.,0
24,https://www.naukri.com/job-listings-HGS-HR-Internship-Walk-In-24-May-31-May-day-Shifts-HGS-International-Services-Pvt-Ltd-Noida-Sector-57-Noida-0-to-0-years-230517002085?src=jobsearchDesk&sid=14965021636977&xp=24,HGS || HR Internship || Walk In 24 May-31 May||day Shifts,HGS || HR Internship || Walk In 24 May-31 May||day Shifts,HGS International Services Pvt.Ltd,Noida(Sector-57 Noida),0-0 yrs,INTERN- SUMMER TRAINING- SUMMER INTERN- INTERNSHIP- HR INTERNSHIP..., ,Not disclosed,0
25,https://www.naukri.com/job-listings-HR-Operations-Executive-S-F-Consultants-Ranchi-3-to-6-years-030617001807?src=jobsearchDesk&sid=14965021636977&xp=25,HR cum Operations Executive,HR cum Operations Executive,S & F Consultants,Ranchi,3-6 yrs,HR Policies- Recruitment- Payroll- Joining Formalities- Gratuity- Leave...,- Ability to recruit Semi-skilled &amp; skilled manpower. - Completing the joining formalities- ...,Not disclosed,0
26,https://www.naukri.com/job-listings-General-Manager-Human-Resource-Global-Manufacturing-Organization-Premium-Mumbai-18-to-28-years-020617004737?src=jobsearchDesk&sid=14965021636977&xp=26,General Manager - Human Resource - Global Manufacturing Organization,General Manager - Human Resource - Global Manufacturing Organization,Premium,Mumbai,18-28 yrs,HR Operations- Business Partnering- Administration- Personnel- IR...,GMP-HR : reporting to the CEO- will lead the HR function and be responsible for all Strategic &amp; ...,Not disclosed,0
27,https://www.naukri.com/job-listings-Vice-President-head-Human-Resource-Manufacturing-Iim-xlri-tiss-s-Premium-Mumbai-15-to-25-years-020617004731?src=jobsearchDesk&sid=14965021636977&xp=27,Vice President/head - Human Resource - Manufacturing - Iim/xlri/tiss/s,Vice President/head - Human Resource - Manufacturing - Iim/xlri/tiss/s,Premium,Mumbai,15-25 yrs,HR Operations- Employee Engagement- PMS- Business Partnering...,We have the following vacancy :  VP/Head - HR : Reporting to the CEO- will lead the HR function ...,Not disclosed,0
28,https://www.naukri.com/job-listings-Head-Human-Resource-Global-Operations-IT-Consulting-Firm-Premium-Chennai-15-to-18-years-010617900907?src=jobsearchDesk&sid=14965021636977&xp=28,Head - Human Resource - Global Operations - IT Consulting Firm,Head - Human Resource - Global Operations - IT Consulting Firm,Premium,Chennai,15-18 yrs,Strategic HR- Performance Management- Talent Management- Training...,Job title : Head - Human Resource - Global Operations  Company : IT Consulting Firm ...,Not disclosed,0
29,https://www.naukri.com/job-listings-Head-HR-Premium-Goa-10-to-13-years-010617005847?src=jobsearchDesk&sid=14965021636977&xp=29,Head- HR,Head- HR,Premium,Goa,10-13 yrs,Head- HR- HR- ER- Admin- Human Resources Head,Head-HR for a large- professionally managed pharma org. in Goa  Head-HR: To partner with the ...,Not disclosed,0
30,https://www.naukri.com/job-listings-HR-Recruiter-Power-Intellectual-Engineering-And-Management-Services-Pvt-Ltd-Indore-1-to-5-years-250317001854?src=jobsearchDesk&sid=14965021636977&xp=30,HR Recruiter,HR Recruiter,Power Intellectual Engineering And Management Services Pvt. Ltd.,Indore,1-5 yrs,Recruitment- Screening- Hiring- Sourcing- HR- Salary- Relocation...,"  	Exposure to Complete Recruitment. life cycle. Expertise in Job assessment- Sourcing- ...",Not disclosed,0
31,https://www.naukri.com/job-listings-Walkin-Interview-for-HR-Recruiter-for-a-Leading-Consultancy-The-Vertical-Delhi-NCR-Ramesh-Nagar-0-to-3-years-030617003124?src=jobsearchDesk&sid=14965021636977&xp=31,Walkin Interview for HR Recruiter for a Leading Consultancy,Walkin Interview for HR Recruiter for a Leading Consultancy,The Vertical Recruiters,Delhi NCR(Ramesh Nagar),0-3 yrs,Interviewing- HR- Mba Fresher- Recruitment- Searching- graduate..., ,100000 - 250000 P.A.,0
32,https://www.naukri.com/job-listings-HR-Manager-generalist-ManpowerGroup-Services-India-Private-Limited-Hyderabad-8-to-10-years-030617002953?src=jobsearchDesk&sid=14965021636977&xp=32,HR Manager (generalist),HR Manager (generalist),ManpowerGroup Services India Private Limited,Hyderabad,8-10 yrs,HR Policies- Recruitment- Employee Engagement- Succession Planning...,        Position:  HR Manager ...,Not disclosed,0
33,https://www.naukri.com/job-listings-Walkin-Interview-for-HR-Recruiter-for-a-Leading-Consultancy-The-Vertical-Delhi-NCR-Ramesh-Nagar-0-to-3-years-030617002946?src=jobsearchDesk&sid=14965021636977&xp=33,Walkin Interview for HR Recruiter for a Leading Consultancy,Walkin Interview for HR Recruiter for a Leading Consultancy,The Vertical Recruiters,Delhi NCR(Ramesh Nagar),0-3 yrs,Interviewing- HR- Mba Fresher- Recruitment- Searching, ,100000 - 250000 P.A.,0
34,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Executive-Genius-Consultants-Limited-Bengaluru-Hyderabad-Ahmedabad-1-to-2-years-030617002829?src=jobsearchDesk&sid=14965021636977&xp=34,Urgent Opening for HR Executive,Urgent Opening for HR Executive,Genius Consultants Limited,Bengaluru Hyderabad Ahmedabad,1-2 yrs,HR- PF- Payroll- Leave- Induction- Attendance Management...,".Job Description  	Management of Associate/Outsourced employees. 	Handling Statutory Compliance ...",100000 - 225000 P.A.,0
35,https://www.naukri.com/job-listings-Human-Resource-Manager-from-Hotel-Tamilnadu-Salem-Oasis-Chennai-4-to-7-years-030617002472?src=jobsearchDesk&sid=14965021636977&xp=35,Human Resource Manager from Hotel ( Tamilnadu - Salem),Human Resource Manager from Hotel ( Tamilnadu - Salem),Oasis,Chennai,4-7 yrs,Recognition- HR- Benefits- Employee Engagement- Training- Payroll- Policies...,Assists with the development and implementation of human resource strategies for the department. ...,450000 - 650000 P.A.,0
36,https://www.naukri.com/job-listings-IT-Recruiter-Sr-IT-Recruiter-Team-Lead-HR-Poonam-IT-Consulting-Services-Pvt-Ltd-Bengaluru-1-to-5-years-030617002090?src=jobsearchDesk&sid=14965021636977&xp=36,IT Recruiter | Sr. IT Recruiter | Team Lead HR,IT Recruiter | Sr. IT Recruiter | Team Lead HR,Poonam IT Consulting Services Pvt Ltd,Bengaluru,1-5 yrs,IT Recruitment- IT Recruiter- HR- Recruiter- HR Recruiter- Sr.IT Recruiter-...,Responsibilities  * Handling End to End Recruitment process.  * Understanding the requirements ...,100000 - 475000 P.A.,0
37,https://www.naukri.com/job-listings-Urgent-Opening-in-Agarpara-kolkata-for-Position-of-HR-Generalist-Genius-Consultants-Limited-Kolkata-Agarpara-2-to-5-years-030617001156?src=jobsearchDesk&sid=14965021636977&xp=37,Urgent Opening in Agarpara(kolkata) for Position of HR - Generalist,Urgent Opening in Agarpara(kolkata) for Position of HR - Generalist,Genius Consultants Limited,Kolkata(Agarpara),2-5 yrs,HR Generalist Activities- Payroll Processing- Attendance Management...,Urgent Opening in Agarpara(Kolkata) with a leading MNC for the position of HR Generalist -- Unit ...,250000 - 325000 P.A.,0
38,https://www.naukri.com/job-listings-Hr-Executive-Omam-Consultants-Pvt-Ltd-Kolkata-1-to-2-years-020617006694?src=jobsearchDesk&sid=14965021636977&xp=38,Hr Executive,Hr Executive,Omam Consultants Pvt. Ltd.,Kolkata,1-2 yrs,Recruitment- HR- Selection- Joining Formalities- Screening- Salary,Responsible for End to End recruitment. Should have knowledge on screening &amp; selection ...,150000 - 175000 P.A.,0
39,https://www.naukri.com/job-listings-Regional-HR-Manager-West-IR-Corporate-HR-ABC-Consultants-Pvt-Ltd-Mumbai-8-to-12-years-020617005898?src=jobsearchDesk&sid=14965021636977&xp=39,Regional HR Manager West (IR / Corporate HR),Regional HR Manager West (IR / Corporate HR),ABC Consultants Pvt Ltd,Mumbai,8-12 yrs,Generalist,Manager IR and corporate HR ...,Not disclosed,0
40,https://www.naukri.com/job-listings-Vacancy-for-HR-Executive-Sr-Executive-in-a-Financial-Co-2Coms-Consulting-Pvt-Ltd-Bengaluru-2-to-5-years-020617001324?src=jobsearchDesk&sid=14965021636977&xp=40,Vacancy for HR Executive / Sr Executive in a Financial Co.,Vacancy for HR Executive / Sr Executive in a Financial Co.,2Coms Consulting Pvt Ltd.,Bengaluru,2-5 yrs,Bulk Hiring- mass hiring- volume hiring- bulk talent acquisition..., ,250000 - 300000 P.A.,0
41,https://www.naukri.com/job-listings-Executive-hr-AP-Management-Consultants-Pvt-Ltd-Coimbatore-5-to-8-years-030617001805?src=jobsearchDesk&sid=14965021636977&xp=41,Executive-hr,Executive-hr,AP Management Consultants Pvt Ltd,Coimbatore,5-8 yrs,payroll- contract employee- Time office- Employee retentions- recruitment...,    Hiring For Executive -HR coimbatore location ...,300000 - 400000 P.A.,0
42,https://www.naukri.com/job-listings-Executive-HR-male-Dubond-Products-India-Pvt-Ltd-Ahmedabad-1-to-6-years-270517005088?src=jobsearchDesk&sid=14965021636977&xp=42,Executive - HR (male),Executive - HR (male),Dubond Products (India) Pvt. Ltd,Ahmedabad,1-6 yrs,HR- Recruitment- Exit Formalities- Joining Formalities- Induction- Employee..., ,50000 - 250000 P.A.,0
43,https://www.naukri.com/job-listings-Assistant-Manager-Roorkee-HR-Admin-manufacturing-Company-Gold-Plus-Glass-Industry-Limited-Roorkee-3-to-7-years-150417001315?src=jobsearchDesk&sid=14965021636977&xp=43,Assistant Manager - Roorkee - HR & Admin (manufacturing Company),Assistant Manager - Roorkee - HR & Admin (manufacturing Company),Gold Plus Glass Industry Limited,Roorkee,3-7 yrs,HR Administration- PF- ESI- Human Resource Management- labour management..., ,250000 - 450000 P.A. Other benefits as per companys...,0
44,https://www.naukri.com/job-listings-Walk-In-Interview-Manager-assistant-Manager-executive-HR-Sterling-Indo-Tech-Consultants-Pvt-Ltd-Jaipur-3-to-8-years-030617003976?src=jobsearchDesk&sid=14965021636977&xp=44,Walk In Interview- Manager/assistant Manager/executive (HR),Walk In Interview- Manager/assistant Manager/executive (HR),Sterling Indo Tech Consultants Pvt. Ltd.,Jaipur,3-8 yrs,HR Manager- HR and Recruitment and IR- hiring- talent hunt, ,200000 - 700000 P.A.,0
45,https://www.naukri.com/job-listings-Human-Resources-Executive-sr-Executive-asst-Manager-Manager-MEDICA-HOSPITALS-PRIVATE-LIMITED-Kolkata-Mukundapur-3-to-8-years-030617001885?src=jobsearchDesk&sid=14965021636977&xp=45,Human Resources - Executive/sr Executive/asst Manager & Manager,Human Resources - Executive/sr Executive/asst Manager & Manager,MEDICA HOSPITALS PRIVATE LIMITED,Kolkata(Mukundapur),3-8 yrs,Recruitment- HR- Performance Appraisal- Manpower Planning- MIS Reporting..., ,Not disclosed,0
46,https://www.naukri.com/job-listings-Manager-HR-Novartis-Healthcare-Pvt-Ltd-Hyderabad-7-to-10-years-020617901040?src=jobsearchDesk&sid=14965021636977&xp=46,Manager - HR,Manager - HR,Novartis Healthcare Pvt. Ltd.,Hyderabad,7-10 yrs,Talent acquisition- BPO- Employee engagement- Talent management...,Offer key people centric insights and complete end-to-end HR processes.   Analytics &amp; Dashboards: ...,Not disclosed,0
47,https://www.naukri.com/job-listings-Assistant-Vice-President-Human-Resources-Premium-Delhi-5-to-9-years-020617002540?src=jobsearchDesk&sid=14965021636977&xp=47,Assistant Vice President - Human Resources,Assistant Vice President - Human Resources,Premium,Delhi,5-9 yrs,Human Resources- HR- Employee Engageent- HR Generalist- talent management...,Build and execute People strategy for the organization Development &amp; implementation of capability ...,Not disclosed,0
48,https://www.naukri.com/job-listings-Opening-FOR-Freshers-MBA-HR-Voltech-HR-Services-Pvt-Ltd-Chennai-Iyyappanthangal-0-to-1-years-211216006012?src=jobsearchDesk&sid=14965021636977&xp=48,JOB Opening FOR Freshers - MBA HR,JOB Opening FOR Freshers - MBA HR,Voltech HR Services Pvt Ltd,Chennai(Iyyappanthangal),0-1 yrs,Hr Mba, ,100000 - 200000 P.A. NOT Constrain FOR Right Candidate,0
49,https://www.naukri.com/job-listings-Urgent-Opening-for-MBA-Fresher-for-HR-Organization-Development-Excel-HR-Solutions-Private-Limited-Mumbai-Matunga-0-to-5-years-030617002926?src=jobsearchDesk&sid=14965021636977&xp=49,Urgent Opening for MBA Fresher for HR Organization Development,Urgent Opening for MBA Fresher for HR Organization Development,Excel HR Solutions Private Limited,Mumbai(Matunga),0-5 yrs,Training- Organizational Development- OD- talent acquisition..., ,200000 - 250000 P.A.,0
50,https://www.naukri.com/job-listings-Manager-HR-Transformation-operational-Excellence-Big4-Premium-Delhi-NCR-Mumbai-9-to-14-years-020617900047?src=jobsearchDesk&sid=14965021636977&xp=50,Manager - HR Transformation/operational Excellence - Big4,Manager - HR Transformation/operational Excellence - Big4,Premium,Delhi NCR Mumbai,9-14 yrs,Operations- Hr Transformation- Service Delivery- Due Diligence- Operational...,As a Manager for the HR Operational Excellence you will use your knowledge and experience of HR Mergers ...,Not disclosed,0
51,https://www.naukri.com/job-listings-HR-Manager-Eloka-Enterprises-Private-Limited-Chennai-Alwarpet-1-to-2-years-280417002202?src=jobsearchDesk&sid=14965021135098&xp=1,HR Manager,HR Manager,Eloka Enterprises Private Limited,Chennai(Alwarpet),1-2 yrs,Payroll Outsourcing- attendance maintainig- pf- esi process..., ,250000 - 300000 P.A.,0
52,https://www.naukri.com/job-listings-Manager-Sr-Manager-HR-hrbp-Tata-Projects-Limited-Mumbai-Powai-7-to-10-years-020617001997?src=jobsearchDesk&sid=14965021135098&xp=2,Manager / Sr. Manager HR (hrbp),Manager / Sr. Manager HR (hrbp),Tata Projects Limited,Mumbai(Powai),7-10 yrs,HR Policies- Hrbp- Employee Training- Human Resource Management- Continuous...,Key Responsibilities Â    Contribute to the business strategy by helping business ...,Not disclosed,0
53,https://www.naukri.com/job-listings-HR-Assistant-Kisan-Mouldings-Limited-Dadra-and-Nagar-Haveli-Tarapur-0-to-2-years-240517004708?src=jobsearchDesk&sid=14965021135098&xp=3,HR Assistant,HR Assistant,Kisan Mouldings Limited,Dadra and Nagar Haveli- Tarapur,0-2 yrs,Talent Acquisition- joining- payroll- HR and Recruitment and IR..., ,50000 - 250000 P.A.,0
54,https://www.naukri.com/job-listings-Hiring-for-MBA-HR-Executive-in-Pune-Hurry-Up-Dreamfond-Group-Pune-0-to-2-years-030617003116?src=jobsearchDesk&sid=14965021135098&xp=4,Hiring for MBA HR Executive in Pune Hurry Up,Hiring for MBA HR Executive in Pune Hurry Up,Dreamfond Group,Pune,0-2 yrs,HR Generalist Activities- Gratuity- PF- ESI- Payroll- Labour Laws- Hr Mba..., ,125000 - 375000 P.A.,0
55,https://www.naukri.com/job-listings-Urgent-Hiring-for-HR-Executive-prefer-Female-INNOVAR-BPO-Noida-1-to-3-years-030617002982?src=jobsearchDesk&sid=14965021135098&xp=5,Urgent Hiring for HR Executive (prefer Female),Urgent Hiring for HR Executive (prefer Female),INNOVAR BPO,Noida,1-3 yrs,Recruitment- Hiring- HR- hr recruiter- hr executive- hr generalist..., ,Not disclosed,0
56,https://www.naukri.com/job-listings-Asst-manager-HR-Admin-Lance-Energy-Solutions-Pvt-Ltd-Mumbai-4-to-7-years-030617002017?src=jobsearchDesk&sid=14965021135098&xp=6,Asst.manager HR & Admin,Asst.manager HR & Admin,Lance Energy Solutions Pvt Ltd,Mumbai,4-7 yrs,HR Administration- Recruitment- Employee Relations- Performance Management-..., ,400000 - 600000 P.A.,0
57,https://www.naukri.com/job-listings-HR-Executive-M-S-Shruti-International-Delhi-0-to-2-years-030617001784?src=jobsearchDesk&sid=14965021135098&xp=7,HR Executive,HR Executive,M/S Shruti International,Delhi,0-2 yrs,HR Policies- Employee Engagement- Employee Relations- Induction..., ,125000 - 225000 P.A.,0
58,https://www.naukri.com/job-listings-Sr-Executive-HR-Operations-Smartedge-IT-Services-Pvt-Ltd-Hyderabad-3-to-7-years-030617001401?src=jobsearchDesk&sid=14965021135098&xp=8,Sr. Executive - HR Operations,Sr. Executive - HR Operations,Smartedge IT Services Pvt Ltd,Hyderabad,3-7 yrs,onboarding- offer generation- contract management- contract review..., ,300000 - 500000 P.A. on Par with the experience and...,0
59,https://www.naukri.com/job-listings-Recruitment-HR-Admin-Executive-urgent-Position-MobiMonster-Delhi-NCR-1-to-3-years-030617001176?src=jobsearchDesk&sid=14965021135098&xp=9,Recruitment HR & Admin Executive (urgent Position),Recruitment HR & Admin Executive (urgent Position),MobiMonster,Delhi NCR,1-3 yrs,HR Administration- Recruitment- Office Administration- office admin..., ,200000 - 250000 P.A.,0
